Model Name,Accuracy Name,Metric Name,Accuracy Value,Training Date
RandomForestRegressor,MAE,jvm_classes_loaded,11.08%,2024-03-05
RandomForestRegressor,R2,jvm_classes_loaded,1.00%,2024-03-05
RandomForestRegressor,Explained Variance,jvm_classes_loaded,1.00%,2024-03-05
SVR,MSE,jvm_classes_loaded,10713.17%,2024-03-05
SVR,MAE,jvm_classes_loaded,13.17%,2024-03-05
SVR,R2,jvm_classes_loaded,0.99%,2024-03-05
SVR,Explained Variance,jvm_classes_loaded,0.99%,2024-03-05
GradientBoostingRegressor,MSE,jvm_compilation_time,219877489.91%,2024-03-05
GradientBoostingRegressor,MAE,jvm_compilation_time,2597.91%,2024-03-05
GradientBoostingRegressor,R2,jvm_compilation_time,1.00%,2024-03-05
GradientBoostingRegressor,Explained Variance,jvm_compilation_time,1.00%,2024-03-05
RandomForestRegressor,MSE,jvm_compilation_time,163106930.66%,2024-03-05
RandomForestRegressor,MAE,jvm_compilation_time,1811.01%,2024-03-05
RandomForestRegressor,R2,jvm_compilation_time,1.00%,2024-03-05
RandomForestRegressor,Explained Variance,jvm_compilation_time,1.00%,2024-03-05
SVR,MSE,jvm_compilation_time,10841745215.94%,2024-03-05
SVR,MAE,jvm_compilation_time,80178.81%,2024-03-05
SVR,R2,jvm_compilation_time,0.82%,2024-03-05
SVR,Explained Variance,jvm_compilation_time,0.83%,2024-03-05
GradientBoostingRegressor,MSE,jvm_gc_memory_allocated,5.414428978599118e+24%,2024-03-05
GradientBoostingRegressor,MAE,jvm_gc_memory_allocated,387723372731.52%,2024-03-05
GradientBoostingRegressor,R2,jvm_gc_memory_allocated,1.00%,2024-03-05
GradientBoostingRegressor,Explained Variance,jvm_gc_memory_allocated,1.00%,2024-03-05
RandomForestRegressor,MSE,jvm_gc_memory_allocated,6.065078205812287e+24%,2024-03-05
RandomForestRegressor,MAE,jvm_gc_memory_allocated,194850472034.49%,2024-03-05
RandomForestRegressor,R2,jvm_gc_memory_allocated,1.00%,2024-03-05
RandomForestRegressor,Explained Variance,jvm_gc_memory_allocated,1.00%,2024-03-05
SVR,MSE,jvm_gc_memory_allocated,7.41944439492321e+27%,2024-03-05
SVR,MAE,jvm_gc_memory_allocated,51885313869474.06%,2024-03-05
SVR,R2,jvm_gc_memory_allocated,-0.28%,2024-03-05
SVR,Explained Variance,jvm_gc_memory_allocated,0.00%,2024-03-05
