Model Name,Accuracy Name,Metric Name,Accuracy Value,Training Date
RandomForestRegressor,MAE,jvm_compilation_time,18.1101%,2024-03-05
RandomForestRegressor,R2,jvm_compilation_time,71.00%,2024-03-05
RandomForestRegressor,Explained Variance,jvm_compilation_time,68.00%,2024-03-05
SVR,MSE,jvm_gc_memory_allocated,54.1944439492321e+27%,2024-03-05
SVR,MAE,jvm_gc_memory_allocated,51.88531386947406%,2024-03-05
SVR,R2,jvm_gc_memory_allocated,60.28%,2024-03-05
SVR,Explained Variance,jvm_gc_memory_allocated,67.00%,2024-03-05
GradientBoostingRegressor,MSE,jvm_gc_memory_allocated,5.414428978599118e+24%,2024-03-05
GradientBoostingRegressor,MAE,jvm_gc_memory_allocated,38.772337273152%,2024-03-05
GradientBoostingRegressor,R2,jvm_gc_memory_allocated,76.00%,2024-03-05
GradientBoostingRegressor,Explained Variance,jvm_gc_memory_allocated,73.03%,2024-03-05
GradientBoostingRegressor,MSE,jvm_gc_memory_promoted,5.348734915183974e+21%,2024-03-05
GradientBoostingRegressor,MAE,jvm_gc_memory_promoted,6.513699701.44%,2024-03-05
GradientBoostingRegressor,R2,jvm_gc_memory_promoted,87.00%,2024-03-05
GradientBoostingRegressor,Explained Variance,jvm_gc_memory_promoted,81.11%,2024-03-05
SVR,MSE,jvm_gc_memory_promoted,11.887907150526662e+25%,2024-03-05
SVR,MAE,jvm_gc_memory_promoted,51.4526307963.87%,2024-03-05
SVR,R2,jvm_gc_memory_promoted,90.02%,2024-03-05
SVR,Explained Variance,jvm_gc_memory_promoted,86.00%,2024-03-05
GradientBoostingRegressor,MSE,http_server_requests,11.45794835310559200%,2024-03-05
GradientBoostingRegressor,MAE,http_server_requests,2.308149608%,2024-03-05
GradientBoostingRegressor,R2,http_server_requests,70.92%,2024-03-05
GradientBoostingRegressor,Explained Variance,http_server_requests,71.92%,2024-03-05
RandomForestRegressor,MSE,http_server_requests_active,3.425%,2024-03-05
RandomForestRegressor,MAE,http_server_requests_active,1.97%,2024-03-05
RandomForestRegressor,R2,http_server_requests_active,76.85%,2024-03-05
RandomForestRegressor,Explained Variance,http_server_requests_active,78.85%,2024-03-05
RandomForestRegressor,MSE,jvm_gc_memory_allocated,6.065078205812287e+24%,2024-03-05
RandomForestRegressor,MAE,jvm_gc_memory_allocated,19.485047203449%,2024-03-05
RandomForestRegressor,R2,jvm_gc_memory_allocated,75.00%,2024-03-05
RandomForestRegressor,Explained Variance,jvm_gc_memory_allocated,84.00%,2024-03-05
RandomForestRegressor,MSE,jvm_gc_memory_promoted,9.450927506471518e+21%,2024-03-05
RandomForestRegressor,MAE,jvm_gc_memory_promoted,6.48865693437%,2024-03-05
RandomForestRegressor,R2,jvm_gc_memory_promoted,87.00%,2024-03-05
RandomForestRegressor,Explained Variance,jvm_gc_memory_promoted,76.00%,2024-03-05
SVR,MSE,jvm_gc_overhead,19.01%,2024-03-05
SVR,MAE,jvm_gc_overhead,26.09%,2024-03-05
SVR,R2,jvm_gc_overhead,58.46%,2024-03-05
SVR,Explained Variance,jvm_gc_overhead,60.18%,2024-03-05
GradientBoostingRegressor,MSE,jvm_gc_overhead,0.00%,2024-03-05
GradientBoostingRegressor,MAE,jvm_gc_overhead,0.00%,2024-03-05
GradientBoostingRegressor,R2,jvm_gc_overhead,0.75%,2024-03-05
GradientBoostingRegressor,Explained Variance,jvm_gc_overhead,0.75%,2024-03-05
RandomForestRegressor,MSE,jvm_gc_overhead,0.00%,2024-03-05
RandomForestRegressor,MAE,jvm_gc_overhead,0.00%,2024-03-05
RandomForestRegressor,R2,jvm_gc_overhead,0.78%,2024-03-05
RandomForestRegressor,Explained Variance,jvm_gc_overhead,0.78%,2024-03-05
SVR,MSE,jvm_memory_usage_after_gc,0.01%,2024-03-05
SVR,MAE,jvm_memory_usage_after_gc,0.07%,2024-03-05
SVR,R2,jvm_memory_usage_after_gc,0.56%,2024-03-05
SVR,Explained Variance,jvm_memory_usage_after_gc,0.58%,2024-03-05
GradientBoostingRegressor,MSE,jvm_memory_committed,2156410234766125.50%,2024-03-05
GradientBoostingRegressor,MAE,jvm_memory_committed,3972258.42%,2024-03-05
GradientBoostingRegressor,R2,jvm_memory_committed,0.99%,2024-03-05
GradientBoostingRegressor,Explained Variance,jvm_memory_committed,0.99%,2024-03-05
GradientBoostingRegressor,MSE,jvm_memory_usage_after_gc,0.00%,2024-03-05
GradientBoostingRegressor,MAE,jvm_memory_usage_after_gc,0.00%,2024-03-05
GradientBoostingRegressor,R2,jvm_memory_usage_after_gc,0.96%,2024-03-05
GradientBoostingRegressor,Explained Variance,jvm_memory_usage_after_gc,0.96%,2024-03-05
GradientBoostingRegressor,MSE,jvm_gc_pause,192070413.56%,2024-03-05
GradientBoostingRegressor,MAE,jvm_gc_pause,6280.84%,2024-03-05
GradientBoostingRegressor,R2,jvm_gc_pause,1.00%,2024-03-05
GradientBoostingRegressor,Explained Variance,jvm_gc_pause,1.00%,2024-03-05
RandomForestRegressor,MSE,jvm_memory_usage_after_gc,0.00%,2024-03-05
RandomForestRegressor,MAE,jvm_memory_usage_after_gc,0.00%,2024-03-05
RandomForestRegressor,R2,jvm_memory_usage_after_gc,0.96%,2024-03-05
RandomForestRegressor,Explained Variance,jvm_memory_usage_after_gc,0.96%,2024-03-05
GradientBoostingRegressor,MSE,jvm_memory_used,2067145560416012.75%,2024-03-11
GradientBoostingRegressor,MAE,jvm_memory_used,11679585.21%,2024-03-11
GradientBoostingRegressor,R2,jvm_memory_used,0.99%,2024-03-11
GradientBoostingRegressor,Explained Variance,jvm_memory_used,0.99%,2024-03-11
RandomForestRegressor,MSE,jvm_memory_committed,493711139546387.88%,2024-03-11
RandomForestRegressor,MAE,jvm_memory_committed,3810783.64%,2024-03-11
RandomForestRegressor,R2,jvm_memory_committed,1.00%,2024-03-11
RandomForestRegressor,Explained Variance,jvm_memory_committed,1.00%,2024-03-11
RandomForestRegressor,MSE,jvm_memory_used,2062120064445116.00%,2024-03-11
RandomForestRegressor,MAE,jvm_memory_used,11250234.24%,2024-03-11
RandomForestRegressor,R2,jvm_memory_used,0.99%,2024-03-11
RandomForestRegressor,Explained Variance,jvm_memory_used,0.99%,2024-03-11
RandomForestRegressor,MSE,jvm_gc_pause,22833313.09%,2024-03-11
RandomForestRegressor,MAE,jvm_gc_pause,478.01%,2024-03-11
RandomForestRegressor,R2,jvm_gc_pause,1.00%,2024-03-11
RandomForestRegressor,Explained Variance,jvm_gc_pause,1.00%,2024-03-11
SVR,MSE,jvm_memory_committed,347730103899539520.00%,2024-03-11
SVR,MAE,jvm_memory_committed,465072282.19%,2024-03-11
SVR,R2,jvm_memory_committed,0.00%,2024-03-11
SVR,Explained Variance,jvm_memory_committed,0.00%,2024-03-11
GradientBoostingRegressor,MSE,jvm_threads_daemon,0.24%,2024-03-11
GradientBoostingRegressor,MAE,jvm_threads_daemon,0.19%,2024-03-11
GradientBoostingRegressor,R2,jvm_threads_daemon,0.96%,2024-03-11
GradientBoostingRegressor,Explained Variance,jvm_threads_daemon,0.96%,2024-03-11
SVR,MSE,jvm_threads_daemon,0.23%,2024-03-11
SVR,MAE,jvm_threads_daemon,0.22%,2024-03-11
SVR,R2,jvm_threads_daemon,0.97%,2024-03-11
SVR,Explained Variance,jvm_threads_daemon,0.97%,2024-03-11
RandomForestRegressor,MSE,jvm_threads_daemon,0.22%,2024-03-11
