metric_id,name,description,baseUnit,statistic,value,tags
9728,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,326238208.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, G1 Survivor Space, CodeHeap 'non-profiled nmethods', Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
9781,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,326696960.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, G1 Survivor Space, CodeHeap 'non-profiled nmethods', Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
9834,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,326828032.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, G1 Survivor Space, CodeHeap 'non-profiled nmethods', Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
9887,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,327221248.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, G1 Survivor Space, CodeHeap 'non-profiled nmethods', Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
9940,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,327483392.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, G1 Survivor Space, CodeHeap 'non-profiled nmethods', Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
9993,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,327811072.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, G1 Survivor Space, CodeHeap 'non-profiled nmethods', Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
10046,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,328007680.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, G1 Survivor Space, CodeHeap 'non-profiled nmethods', Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
10099,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,328073216.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, G1 Survivor Space, CodeHeap 'non-profiled nmethods', Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
10311,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,328138752.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, G1 Survivor Space, CodeHeap 'non-profiled nmethods', Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
10364,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,328204288.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, G1 Survivor Space, CodeHeap 'non-profiled nmethods', Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
