metric_id,name,description,baseUnit,statistic,value,tags
1018,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1018,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1083,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1083,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1083,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1148,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1148,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1148,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1213,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1213,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1213,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1278,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1278,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1278,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
