metric_id,name,description,baseUnit,statistic,value,tags
416,http.server.requests,,seconds,COUNT,54535.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
416,http.server.requests,,seconds,TOTAL_TIME,101.73425480200002,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
416,http.server.requests,,seconds,MAX,0.001075036,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
481,http.server.requests,,seconds,COUNT,54645.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
481,http.server.requests,,seconds,TOTAL_TIME,101.77953153500002,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
481,http.server.requests,,seconds,MAX,0.000519,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
546,http.server.requests,,seconds,COUNT,54755.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /actuator/metrics, /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
546,http.server.requests,,seconds,TOTAL_TIME,101.82924602700001,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /actuator/metrics, /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
546,http.server.requests,,seconds,MAX,0.000938731,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /actuator/metrics, /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
611,http.server.requests,,seconds,COUNT,54865.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
611,http.server.requests,,seconds,TOTAL_TIME,101.87842631800001,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
611,http.server.requests,,seconds,MAX,0.001039714,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
676,http.server.requests,,seconds,COUNT,54975.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
