metric_id,name,description,baseUnit,statistic,value,tags
1216,jvm.memory.max,The maximum amount of memory in bytes that can be used for memory management,bytes,VALUE,5494538237.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
1281,jvm.memory.max,The maximum amount of memory in bytes that can be used for memory management,bytes,VALUE,5494538237.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
1346,jvm.memory.max,The maximum amount of memory in bytes that can be used for memory management,bytes,VALUE,5494538237.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
1411,jvm.memory.max,The maximum amount of memory in bytes that can be used for memory management,bytes,VALUE,5494538237.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
1476,jvm.memory.max,The maximum amount of memory in bytes that can be used for memory management,bytes,VALUE,5494538237.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
1541,jvm.memory.max,The maximum amount of memory in bytes that can be used for memory management,bytes,VALUE,5494538237.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
1606,jvm.memory.max,The maximum amount of memory in bytes that can be used for memory management,bytes,VALUE,5494538237.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
1671,jvm.memory.max,The maximum amount of memory in bytes that can be used for memory management,bytes,VALUE,5494538237.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
1736,jvm.memory.max,The maximum amount of memory in bytes that can be used for memory management,bytes,VALUE,5494538237.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
1801,jvm.memory.max,The maximum amount of memory in bytes that can be used for memory management,bytes,VALUE,5494538237.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
1866,jvm.memory.max,The maximum amount of memory in bytes that can be used for memory management,bytes,VALUE,5494538237.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
1931,jvm.memory.max,The maximum amount of memory in bytes that can be used for memory management,bytes,VALUE,5494538237.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
1996,jvm.memory.max,The maximum amount of memory in bytes that can be used for memory management,bytes,VALUE,5494538237.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
2061,jvm.memory.max,The maximum amount of memory in bytes that can be used for memory management,bytes,VALUE,5494538237.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
2126,jvm.memory.max,The maximum amount of memory in bytes that can be used for memory management,bytes,VALUE,5494538237.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
2191,jvm.memory.max,The maximum amount of memory in bytes that can be used for memory management,bytes,VALUE,5494538237.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
