metric_id,name,description,baseUnit,statistic,value,tags
1132,http.server.requests.active,,seconds,DURATION,0.00027708,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
1197,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
1197,http.server.requests.active,,seconds,DURATION,0.000195823,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
1262,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
1262,http.server.requests.active,,seconds,DURATION,0.000159389,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
1327,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
1327,http.server.requests.active,,seconds,DURATION,0.000163721,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
1392,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
1392,http.server.requests.active,,seconds,DURATION,0.000194002,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
1457,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
1457,http.server.requests.active,,seconds,DURATION,0.000219423,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
1522,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
1522,http.server.requests.active,,seconds,DURATION,0.00018117,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
1587,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
1587,http.server.requests.active,,seconds,DURATION,0.000264431,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
1652,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
1652,http.server.requests.active,,seconds,DURATION,0.000242291,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
1717,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
1717,http.server.requests.active,,seconds,DURATION,0.000223438,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
1782,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
1782,http.server.requests.active,,seconds,DURATION,0.000206706,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
1847,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
1847,http.server.requests.active,,seconds,DURATION,0.000202024,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
1912,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
1912,http.server.requests.active,,seconds,DURATION,0.000179015,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
1977,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
1977,http.server.requests.active,,seconds,DURATION,0.000208033,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
2042,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
2042,http.server.requests.active,,seconds,DURATION,0.000200394,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
